SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-18-2022,Condo/Co-op,938 S Kihei Rd #427,Kihei,HI,96753-6133,800000,1.0,1.0,Kihei,650.0,566280.0,1975.0,,1231.0,844.0,Sold,,,https://www.redfin.com/HI/Kihei/938-S-Kihei-Rd-96753/unit-427/home/71729541,RAM MLS,397169.0,N,Y,20.7591885,-156.4577362
PAST SALE,October-17-2022,Single Family Residential,154 Cooke Rd,Kula,HI,96790,2800000,3.0,2.0,Kula/Ulupalakua/Kanaio,2757.0,136604.0,1965.0,,1016.0,,Sold,,,https://www.redfin.com/HI/Kula/154-Cooke-Rd-96790/home/71653444,RAM MLS,396138.0,N,Y,20.759717,-156.3047976
PAST SALE,September-28-2022,Single Family Residential,5 Waikalani Hema Pl,Kihei,HI,96753,1495000,6.0,4.5,Kihei,3380.0,7741.0,2005.0,,442.0,,Sold,,,https://www.redfin.com/HI/Kihei/5-Waikalani-Hema-Pl-96753/home/71661089,RAM MLS,395529.0,N,Y,20.761801,-156.4531441
PAST SALE,October-24-2022,Single Family Residential,232 Anamuli St,Kahului,HI,96732-4502,885000,3.0,2.0,Kahului,1405.0,5027.0,2006.0,,630.0,64.0,Sold,,,https://www.redfin.com/HI/Kahului/232-Anamuli-St-96732/home/71673739,RAM MLS,395687.0,N,Y,20.859866,-156.4821391
PAST SALE,November-1-2022,Single Family Residential,71 Door Of Faith Rd,Haiku,HI,96708-5713,2888000,4.0,3.5,Haiku,2158.0,175111.0,1990.0,,1338.0,,Sold,,,https://www.redfin.com/HI/Haiku/71-Door-of-Faith-Rd-96708/home/71663837,RAM MLS,395911.0,N,Y,20.9086329,-156.2209925
PAST SALE,November-13-2022,Single Family Residential,591 Ulalena Loop,Haiku,HI,96708,1100000,3.0,2.0,Haiku,2002.0,57412.0,2002.0,,549.0,,Sold,,,https://www.redfin.com/HI/Haiku/591-Ulalena-Loop-96708/home/71652463,RAM MLS,396315.0,N,Y,20.909436,-156.234998
PAST SALE,October-19-2022,Single Family Residential,22 Akoni Pl,Paia,HI,96779,725000,3.0,1.0,Spreckelsville/Paia/Kuau,792.0,3001.0,1969.0,,915.0,,Sold,,,https://www.redfin.com/HI/Paia/22-Akoni-Pl-96779/home/88588690,RAM MLS,396717.0,N,Y,20.9152394,-156.3810467
PAST SALE,November-6-2022,Single Family Residential,62 Hana Hwy Unit D,Paia,HI,96779,1595000,5.0,2.0,Spreckelsville/Paia/Kuau,1740.0,20491.0,1949.0,,917.0,,Sold,,,https://www.redfin.com/HI/Paia/62-Hana-Hwy-96779/unit-D/home/88588701,RAM MLS,391399.0,N,Y,20.9144807,-156.3818372
PAST SALE,November-9-2022,Condo/Co-op,940 S Kihei Rd Unit B204,Kihei,HI,96753-9151,695000,1.0,1.0,Kihei,643.0,172933.0,1979.0,,1081.0,507.0,Sold,,,https://www.redfin.com/HI/Kihei/940-S-Kihei-Rd-96753/unit-B204/home/104197292,RAM MLS,396845.0,N,Y,20.758228,-156.457648
PAST SALE,August-21-2022,Condo/Co-op,140 Uwapo Rd Unit 59-103,Kihei,HI,96753,600000,2.0,1.5,Kihei,750.0,166835.0,1989.0,,800.0,476.0,Sold,,,https://www.redfin.com/HI/Kihei/140-Uwapo-Rd-96753/unit-59-103/home/71719697,RAM MLS,395927.0,N,Y,20.7814897,-156.4591511
PAST SALE,September-12-2022,Condo/Co-op,140 Uwapo Rd Unit 28-102,Kihei,HI,96753-7403,595000,2.0,1.5,Kihei,742.0,166835.0,1990.0,,802.0,475.0,Sold,,,https://www.redfin.com/HI/Kihei/140-Uwapo-Rd-96753/unit-28-102/home/71713770,RAM MLS,396696.0,N,Y,20.7814897,-156.4591511
PAST SALE,October-19-2022,Condo/Co-op,140 Uwapo Rd Unit 31-205,Kihei,HI,96753,560000,2.0,1.5,Kihei,750.0,270072.0,1990.0,,747.0,475.0,Sold,,,https://www.redfin.com/HI/Kihei/140-Uwapo-Rd-96753/unit-31-205/home/71709096,RAM MLS,396491.0,N,Y,20.7814897,-156.4591511
PAST SALE,October-27-2022,Condo/Co-op,140 Uwapo Rd Unit 3-203,Kihei,HI,96753,519000,2.0,1.5,Kihei,750.0,270072.0,1989.0,,692.0,475.0,Sold,,,https://www.redfin.com/HI/Kihei/140-Uwapo-Rd-96753/unit-3-203/home/88597925,RAM MLS,396418.0,N,Y,20.7814897,-156.4591511
PAST SALE,November-3-2022,Condo/Co-op,140 Uwapo Rd #7103,Kihei,HI,96753-7403,640000,2.0,2.0,Kihei,742.0,166835.0,1989.0,,863.0,469.0,Sold,,,https://www.redfin.com/HI/Kihei/140-Uwapo-Rd-96753/unit-7-103/home/71720932,RAM MLS,396399.0,N,Y,20.7814897,-156.4591511
PAST SALE,August-30-2022,Condo/Co-op,140 Uwapo Rd Unit 50-101,Kihei,HI,96753,570000,2.0,1.5,Kihei,750.0,166835.0,1990.0,,760.0,475.0,Sold,,,https://www.redfin.com/HI/Kihei/140-Uwapo-Rd-96753/unit-50-101/home/71721627,RAM MLS,395988.0,N,Y,20.7814897,-156.4591511
PAST SALE,November-6-2022,Single Family Residential,51 Kealaloa Ave Unit A,Makawao,HI,96768,850000,5.0,2.0,Makawao/Olinda/Haliimaile,1616.0,33868.0,1978.0,,526.0,,Sold,,,https://www.redfin.com/HI/Makawao/51-Kealaloa-Ave-96768/unit-A/home/88587206,RAM MLS,396804.0,N,Y,20.8464062,-156.3172725
PAST SALE,September-8-2022,Vacant Land,1060 Kai Huki Cir Lot 1,Haiku,HI,96708,1000000,0.0,,Makawao,,736033.0,,,,,Sold,,,https://www.redfin.com/HI/Haiku-Pauwela/1060-Kai-Huki-Cir-96708/unit-1/home/170021505,HiCentral MLS,202217126.0,N,Y,20.938619,-156.284201
PAST SALE,October-6-2022,Vacant Land,798 Kai Huki Cir Lot 7,Haiku,HI,96708,1600000,0.0,,Makawao,,151371.0,,,,,Sold,,,https://www.redfin.com/HI/Haiku-Pauwela/798-Kai-Huki-Cir-96708/unit-7/home/172064565,HiCentral MLS,202216388.0,N,Y,20.9430197995327,-156.280922711639
PAST SALE,October-30-2022,Vacant Land,770 Kai Huki Cir Lot 8,Haiku,HI,96708,1900000,0.0,,Makawao,,190531.0,,,,550.0,Sold,,,https://www.redfin.com/HI/Haiku-Pauwela/770-Kai-Huki-Cir-96708/unit-8/home/172558441,HiCentral MLS,202216456.0,N,Y,20.9427008764283,-156.279975244701
PAST SALE,September-11-2022,Vacant Land,890 Kai Huki Cir Lot 2,Haiku,HI,96708,1200000,0.0,,Makawao,,170668.0,,,,,Sold,,,https://www.redfin.com/HI/Haiku-Pauwela/890-Kai-Huki-Cir-96708/unit-2/home/172558447,HiCentral MLS,202217128.0,N,Y,20.942541,-156.284187
PAST SALE,August-15-2022,Condo/Co-op,55 Halili Ln Unit 11B,Kihei,HI,96753-6075,725000,3.0,2.0,Kihei,961.0,381150.0,2003.0,,754.0,690.0,Sold,,,https://www.redfin.com/HI/Kihei/55-Halili-Ln-96753/unit-11B/home/71716601,RAM MLS,396178.0,N,Y,20.7650802,-156.455725
PAST SALE,,Condo/Co-op,2661 Kekaa Dr Unit K212,Lahaina,HI,96761,343200,1.0,1.0,,960.0,,1968.0,,358.0,,,,,https://www.redfin.com/HI/Lahaina/2661-Kekaa-Dr-96761/unit-K212/home/88607414,,,N,Y,20.9283015,-156.6919341
PAST SALE,October-10-2022,Condo/Co-op,2661 Kekaa Dr Unit J105,Lahaina,HI,96761,661000,1.0,1.0,Kaanapali,960.0,444312.0,1969.0,,689.0,1361.0,Sold,,,https://www.redfin.com/HI/Lahaina/2661-Kekaa-Dr-96761/unit-J105/home/88607375,RAM MLS,396807.0,N,Y,20.9283015,-156.6919341
PAST SALE,,Condo/Co-op,2661 Kekaa Dr Unit J206,Lahaina,HI,96761,343200,1.0,1.0,,960.0,,1968.0,,358.0,,,,,https://www.redfin.com/HI/Lahaina/2661-Kekaa-Dr-96761/unit-J206/home/71715280,,,N,Y,20.9283015,-156.6919341
PAST SALE,September-8-2022,Condo/Co-op,45 Kai Ala Dr Unit A509,Lahaina,HI,96761,685000,0.0,1.0,Kaanapali,544.0,499198.0,1967.0,,1259.0,1392.0,Sold,,,https://www.redfin.com/HI/Lahaina/45-Kai-Ala-Dr-96761/unit-A509/home/88606833,RAM MLS,396673.0,N,Y,20.9339394,-156.6916992
PAST SALE,August-28-2022,Condo/Co-op,2481 Kaanapali Pkwy #410,Lahaina,HI,96761-1910,1381500,1.0,2.0,Kaanapali,905.0,290545.0,1974.0,,1527.0,2095.0,Sold,,,https://www.redfin.com/HI/Lahaina/2481-Kaanapali-Pkwy-96761/unit-410/home/88607241,RAM MLS,395919.0,N,Y,20.9222644,-156.6950044
PAST SALE,September-27-2022,Condo/Co-op,940 S Kihei Rd Unit 208B,Kihei,HI,96753,990000,2.0,2.0,Kihei,1012.0,172933.0,1980.0,,978.0,772.0,Sold,,,https://www.redfin.com/HI/Kihei/940-S-Kihei-Rd-96753/unit-208B/home/88598381,RAM MLS,396355.0,N,Y,20.7583373,-156.4576084
PAST SALE,September-12-2022,Single Family Residential,64 Aoiki St,Makawao,HI,96768-9708,725000,3.0,1.0,Makawao/Olinda/Haliimaile,1748.0,8899.0,1938.0,,415.0,,Sold,,,https://www.redfin.com/HI/Makawao/64-Aoiki-St-96768/home/71645115,RAM MLS,396473.0,N,Y,20.8734832,-156.3379926
PAST SALE,September-6-2022,Single Family Residential,1601 Haliimaile Rd,Makawao,HI,96768,3500000,2.0,2.0,Makawao/Olinda/Haliimaile,1000.0,122883.0,2019.0,,3500.0,386.0,Sold,,,https://www.redfin.com/HI/Makawao/1601-Haliimaile-Rd-96768/home/169549504,RAM MLS,396723.0,N,Y,20.872636,-156.330744
PAST SALE,November-9-2022,Single Family Residential,220 Ohaoha Pl,Makawao,HI,96768-7706,3345000,3.0,4.5,Makawao/Olinda/Haliimaile,2739.0,90431.0,2004.0,,1221.0,142.0,Sold,,,https://www.redfin.com/HI/Makawao/220-Ohaoha-Pl-96768/home/71667809,RAM MLS,396933.0,N,Y,20.8841075,-156.3371557
PAST SALE,October-13-2022,Single Family Residential,40 Leie St,Makawao,HI,96768,999000,4.0,2.0,Makawao/Olinda/Haliimaile,1695.0,8999.0,1974.0,,589.0,,Sold,,,https://www.redfin.com/HI/Makawao/40-Leie-St-96768/home/71648839,RAM MLS,396487.0,N,Y,20.8700692,-156.3360748
PAST SALE,October-13-2022,Condo/Co-op,111 Kahului Beach Rd Unit A201,Kahului,HI,96732,245000,2.0,1.5,Kahului,787.0,327136.0,1974.0,,311.0,583.0,Sold,,,https://www.redfin.com/HI/Kahului/111-Kahului-Beach-Rd-96732/unit-A201/home/71713840,RAM MLS,396622.0,N,Y,20.8911039,-156.4749077
PAST SALE,October-13-2022,Condo/Co-op,111 Kahului Beach Rd Unit D-417,Kahului,HI,96732,260000,2.0,1.5,Kahului,787.0,327136.0,1974.0,,330.0,585.0,Sold,,,https://www.redfin.com/HI/Kahului/111-Kahului-Beach-Rd-96732/unit-D417/home/71769028,RAM MLS,396863.0,N,Y,20.8911039,-156.4749077
